Name,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
ADIN,08.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ADIN,07.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ADIN,06.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ADIN,05.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ADIN,04.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ADIN,01.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ADIN,31.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ADIN,30.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ADIN,29.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ADIN,28.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ADIN,25.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ADIN,24.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ADIN,22.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ADIN,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.200,343.200
ADIN,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.400,3.400
ADIN,17.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
ADIN,16.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
ADIN,15.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
ADIN,14.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
ADIN,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.000,340.000
ADIN,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.000,28.000
ALK,08.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALK,07.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALK,06.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALK,05.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALK,04.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALK,01.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALK,31.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALK,30.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALK,29.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALK,28.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALK,25.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALK,24.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALK,22.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALK,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.200,343.200
ALK,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.400,3.400
ALK,17.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
ALK,16.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
ALK,15.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
ALK,14.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
ALK,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.000,340.000
ALK,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.000,28.000
ALKB,08.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALKB,07.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALKB,06.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALKB,05.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALKB,04.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALKB,01.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALKB,31.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALKB,30.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALKB,29.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALKB,28.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALKB,25.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALKB,24.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALKB,22.10.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALKB,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.200,343.200
ALKB,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.400,3.400
ALKB,17.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
ALKB,16.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
ALKB,15.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
ALKB,14.10.2024,"1.700,00",,,"1.700,00","0,00",0,0,0
ALKB,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.000,340.000
