Name,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
ADIN,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
ADIN,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
ADIN,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
ADIN,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
ALK,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
ALK,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
ALK,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
ALK,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
ALKB,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
ALKB,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
ALKB,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
ALKB,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
AMEH,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
AMEH,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
AMEH,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
AMEH,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
APTK,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
APTK,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
APTK,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
APTK,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
ATPP,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
ATPP,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
ATPP,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
ATPP,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
AUMK,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
AUMK,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
AUMK,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
AUMK,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
BANA,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
BANA,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
BANA,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
BANA,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
BGOR,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
BGOR,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
BGOR,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
BGOR,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
BIKF,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
BIKF,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
BIKF,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
BIKF,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
BIM,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
BIM,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
BIM,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
BIM,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
BLTU,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
BLTU,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
BLTU,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
BLTU,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
CBNG,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
CBNG,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
CBNG,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
CBNG,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
CDHV,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
CDHV,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
CDHV,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
CDHV,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
CEVI,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
CEVI,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
CEVI,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
CEVI,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
CKB,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
CKB,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
CKB,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
CKB,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
CKBKO,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
CKBKO,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
CKBKO,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
CKBKO,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
DEBA,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
DEBA,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
DEBA,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
DEBA,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
DIMI,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
DIMI,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
DIMI,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
DIMI,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
EDST,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
EDST,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
EDST,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
EDST,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
ELMA,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
ELMA,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
ELMA,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
ELMA,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
ELNC,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
ELNC,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
ELNC,10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
ELNC,09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
ENER,21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
ENER,18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
